"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
61-0189,MERRICK,61,TIF DAIRY QUEEN,4/28/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Rick & Kazuko Kunz (Dairy Queen)
All Lots 2-4 & 50' abutting Lots 3 & 4 North of Block 28, Original Town.
Description: TIF funds used for demolition of a closed gas station and the construction of a new Dairy Queen, parking lot, curbs and sidewalks.",2009,0,0,44550,153850,0,0,0,0,,44550,153850,2.236885,3441.45,996.53
61-0189,MERRICK,61,TIF DAIRY QUEEN,4/28/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Rick & Kazuko Kunz (Dairy Queen)
All Lots 2-4 & 50' abutting Lots 3 & 4 North of Block 28, Original Town.
Description: TIF funds used for demolition of a closed gas station and the construction of a new Dairy Queen, parking lot, curbs and sidewalks.",2010,0,0,44550,325650,0,0,0,0,,44550,325650,2.186899,7121.64,974.26
61-0189,MERRICK,61,TIF DAIRY QUEEN,4/28/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Rick & Kazuko Kunz (Dairy Queen)
All Lots 2-4 & 50' abutting Lots 3 & 4 North of Block 28, Original Town.
Description: TIF funds used for demolition of a closed gas station and the construction of a new Dairy Queen, parking lot, curbs and sidewalks.",2011,0,0,44550,325650,0,0,0,0,,44550,325650,2.175214,7083.58,969.06
61-0189,MERRICK,61,TIF DAIRY QUEEN,4/28/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Rick & Kazuko Kunz (Dairy Queen)
All Lots 2-4 & 50' abutting Lots 3 & 4 North of Block 28, Original Town.
Description: TIF funds used for demolition of a closed gas station and the construction of a new Dairy Queen, parking lot, curbs and sidewalks.",2012,0,0,44550,325650,0,0,0,0,,44550,325650,2.042437,6651.2,909.91
61-0189,MERRICK,61,TIF DAIRY QUEEN,4/28/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Rick & Kazuko Kunz (Dairy Queen)
All Lots 2-4 & 50' abutting Lots 3 & 4 North of Block 28, Original Town.
Description: TIF funds used for demolition of a closed gas station and the construction of a new Dairy Queen, parking lot, curbs and sidewalks.",2013,0,0,44550,365870,0,0,0,0,,44550,365870,2.005995,7339.34,893.67
61-0190,MERRICK,61,TIF LAKEVIEW (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project (this is part of the South Redevelopment Project)
Lot  5, 7 & 8, Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2009,4500,181305,0,0,0,0,0,0,,4500,181305,2.236885,4055.59,100.66
61-0190,MERRICK,61,TIF LAKEVIEW (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project (this is part of the South Redevelopment Project)
Lot  5, 7 & 8, Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2010,4500,472360,0,0,0,0,0,0,,4500,472360,2.186899,10330.04,98.41
61-0190,MERRICK,61,TIF LAKEVIEW (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project (this is part of the South Redevelopment Project)
Lot  5, 7 & 8, Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2011,4500,474730,0,0,0,0,0,0,,4500,474730,2.175214,10326.4,97.88
61-0190,MERRICK,61,TIF LAKEVIEW (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project (this is part of the South Redevelopment Project)
Lot  5, 7 & 8, Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2012,4500,512645,0,0,0,0,0,0,,4500,512645,2.042437,10470.48,91.91
61-0190,MERRICK,61,TIF LAKEVIEW (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project (this is part of the South Redevelopment Project)
Lot  5, 7 & 8, Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2013,4500,541560,0,0,0,0,0,0,,4500,541560,2.005995,10863.68,90.27
61-0191,MERRICK,61,TIF MCEDC (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2009)
Lots 4, 8, 15, 21, & 22, Eastview Addition
Description: TIF funds used for infrastructure for single family homes.",2009,69300,154540,0,0,0,0,0,0,,69300,154540,2.236885,3456.88,1550.16
61-0191,MERRICK,61,TIF MCEDC (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2009)
Lots 4, 8, 15, 21, & 22, Eastview Addition
Description: TIF funds used for infrastructure for single family homes.",2010,69300,460910,0,0,0,0,0,0,,69300,460910,2.186899,10079.64,1515.52
61-0191,MERRICK,61,TIF MCEDC (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2009)
Lots 4, 8, 15, 21, & 22, Eastview Addition
Description: TIF funds used for infrastructure for single family homes.",2011,69300,487420,0,0,0,0,0,0,,69300,487420,2.175214,10602.44,1507.42
61-0191,MERRICK,61,TIF MCEDC (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2009)
Lots 4, 8, 15, 21, & 22, Eastview Addition
Description: TIF funds used for infrastructure for single family homes.",2012,69300,647330,0,0,0,0,0,0,,69300,647330,2.042437,13221.32,1415.41
61-0191,MERRICK,61,TIF MCEDC (2009),1/1/2009,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2009)
Lots 4, 8, 15, 21, & 22, Eastview Addition
Description: TIF funds used for infrastructure for single family homes.",2013,69300,673615,0,0,0,0,0,0,,69300,673615,2.005995,13512.7,1390.15
61-0192,MERRICK,61,TIF LAKEVIEW (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project 2010
Lots 1-4, Lot 6, 9, & 10 Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2010,38000,46965,0,0,0,0,0,0,,38000,46965,2.186899,1027.08,831.02
61-0192,MERRICK,61,TIF LAKEVIEW (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project 2010
Lots 1-4, Lot 6, 9, & 10 Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2011,38000,406810,0,0,0,0,0,0,,38000,406810,2.175214,8849,826.58
61-0192,MERRICK,61,TIF LAKEVIEW (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project 2010
Lots 1-4, Lot 6, 9, & 10 Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2012,38000,912865,0,0,0,0,0,0,,38000,912865,2.042437,18644.74,776.13
61-0192,MERRICK,61,TIF LAKEVIEW (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Lakeview Project 2010
Lots 1-4, Lot 6, 9, & 10 Lakeview Addition
Description: TIF funds used for the construction of single family residences.",2013,38000,1109740,0,0,0,0,0,0,,38000,1109740,2.005995,22261.34,762.28
61-0193,MERRICK,61,TIF MCHARGUE PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: McHargue Project
Lots 1, 2a, 2b, 3, 4, 5, & 6 Pine Wood Addition Central City
Description: Demolition of substandard partial structures and infrastructure, removal of debris and construction of new water, sewer, electrical and street infrastructure in support of residential subdivision.",2010,26800,424180,0,0,0,0,0,0,,26800,424180,2.186899,9276.4,586.09
61-0193,MERRICK,61,TIF MCHARGUE PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: McHargue Project
Lots 1, 2a, 2b, 3, 4, 5, & 6 Pine Wood Addition Central City
Description: Demolition of substandard partial structures and infrastructure, removal of debris and construction of new water, sewer, electrical and street infrastructure in support of residential subdivision.",2011,26750,586170,0,0,0,0,0,0,,26750,586170,2.175214,12750.46,581.87
61-0193,MERRICK,61,TIF MCHARGUE PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: McHargue Project
Lots 1, 2a, 2b, 3, 4, 5, & 6 Pine Wood Addition Central City
Description: Demolition of substandard partial structures and infrastructure, removal of debris and construction of new water, sewer, electrical and street infrastructure in support of residential subdivision.",2012,28700,781090,0,0,0,0,0,0,,28700,781090,2.042437,15953.3,586.18
61-0193,MERRICK,61,TIF MCHARGUE PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: McHargue Project
Lots 1, 2a, 2b, 3, 4, 5, & 6 Pine Wood Addition Central City
Description: Demolition of substandard partial structures and infrastructure, removal of debris and construction of new water, sewer, electrical and street infrastructure in support of residential subdivision.",2013,28700,966490,0,0,0,0,0,0,,28700,966490,2.005995,19387.8,575.72
61-0194,MERRICK,61,TIF PETERSEN PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Petersen Project
South 44ft of Lot 5 Block 4 County Addition to Central City
Description: Demolition of dilapidated residence and construction of sidewalk, curb, and parking area in support of a retail business.",2010,0,0,23960,105400,0,0,0,0,,23960,105400,2.186899,2304.99,523.98
61-0194,MERRICK,61,TIF PETERSEN PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Petersen Project
South 44ft of Lot 5 Block 4 County Addition to Central City
Description: Demolition of dilapidated residence and construction of sidewalk, curb, and parking area in support of a retail business.",2011,0,0,23960,105400,0,0,0,0,,23960,105400,2.175214,2292.68,521.18
61-0194,MERRICK,61,TIF PETERSEN PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Petersen Project
South 44ft of Lot 5 Block 4 County Addition to Central City
Description: Demolition of dilapidated residence and construction of sidewalk, curb, and parking area in support of a retail business.",2012,0,0,23960,105400,0,0,0,0,,23960,105400,2.042437,2152.74,489.37
61-0194,MERRICK,61,TIF PETERSEN PROJECT,1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Petersen Project
South 44ft of Lot 5 Block 4 County Addition to Central City
Description: Demolition of dilapidated residence and construction of sidewalk, curb, and parking area in support of a retail business.",2013,0,0,23960,126525,0,0,0,0,,23960,126525,2.005995,2538.1,480.64
61-0195,MERRICK,61,TIF MCEDC2 (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2010)
Lots 5-6, Block 1, LPC III Addition and South 1/2 Lot 2, all Lot 3, Block 2, LPC III Addition
Description: TIF funds for construction of single family residences.",2010,13275,82795,0,0,0,0,0,0,,13275,82795,2.186899,1810.64,290.31
61-0195,MERRICK,61,TIF MCEDC2 (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2010)
Lots 5-6, Block 1, LPC III Addition and South 1/2 Lot 2, all Lot 3, Block 2, LPC III Addition
Description: TIF funds for construction of single family residences.",2011,13275,164775,0,0,0,0,0,0,,13275,164775,2.175214,3584.22,288.76
61-0195,MERRICK,61,TIF MCEDC2 (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2010)
Lots 5-6, Block 1, LPC III Addition and South 1/2 Lot 2, all Lot 3, Block 2, LPC III Addition
Description: TIF funds for construction of single family residences.",2012,13275,199390,0,0,0,0,0,0,,13275,199390,2.042437,4072.42,271.13
61-0195,MERRICK,61,TIF MCEDC2 (2010),1/1/2010,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Merrick County Economic Development Corp. (Project 2010)
Lots 5-6, Block 1, LPC III Addition and South 1/2 Lot 2, all Lot 3, Block 2, LPC III Addition
Description: TIF funds for construction of single family residences.",2013,13275,217290,0,0,0,0,0,0,,13275,217290,2.005995,4358.84,266.3
61-0196,MERRICK,61,TIF SUBWAY PROJ,1/1/2012,CENTRAL CITY,CENTRAL CITY 4,61-0004,,3,"Name of Project: Subway Project
Boyd & Jarret Addition Pt Lots 10 & 17 & All Lot 18 So Hwy & Pt Vacated Alley 45-4CC
Description: TIF funds used to acquire property, clear dilapidated house, prepare lot, and construct new Subway restaurant",2012,0,0,13500,217850,0,0,0,0,,13500,217850,2.042437,4449.46,275.73
62-9515,MORRILL,62,"TIF PROPERTY VENTURES, LLC",1/1/2003,BAYARD,BAYARD 21,62-0021,,3,"Name of Project: Dollar General Store
Part of Lot 8, Lots 9&10, Block 7, Original Town of South Bayard
Description: TIF funds approved for reconstruction and remodeling of a vacant building now occupied by merchandise store.
Note: As per City and Assessor, this TIF was not finalized in agreement till 11/16/2004. It would not take effect till 2005.",2013,0,0,9435,205065,0,0,0,0,,9435,205065,2.220138,4552.74,209.47
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2008,0,0,6415,52985,0,0,0,0,,6415,52985,1.979118,1048.64,126.96
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2009,0,0,6415,35317135,0,0,0,0,,6415,35317135,2.029965,716925.48,130.22
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2010,0,0,6415,41573885,0,0,0,0,,6415,41573885,1.949735,810580.59,125.08
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2011,0,0,0,0,6415,41573885,0,0,,6415,41573885,2.009647,835488.33,128.92
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2012,0,0,0,0,6415,16579177,0,0,,6415,16579177,1.993872,330567.57,127.91
62-9517,MORRILL,62,TIF BRIDGEPORT ETHANOL,1/1/2007,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bridgeport Ethanol
A tract of land on Section 3-T19-R50
Description: TIF funds used for the acquisition, preparation for development, rail infrastructure, water rights, and on site infrastructure for ethanol plant.",2013,0,0,0,0,6415,16579177,0,0,,6415,16579177,1.944303,322349.44,124.73
62-9518,MORRILL,62,TIF BOMGAARS PROJECT,1/1/2013,BRIDGEPORT,BRIDGEPORT 63,62-0063,,3,"Name of Project: Bomgaars Infrastructure
Block 1, Lapaseotes Addition in SW 1/4 29-20-50 Bridgeport
Description of Project: Amended to change beginning date for 2013. TIF funds used for road extension improvements for commercial development.",2013,0,0,11550,1313590,0,0,0,0,,11550,1313590,1.944303,25540.18,224.57
62-9519,MORRILL,62,TIF CLAVER TRUST,1/1/2013,BAYARD,BAYARD 21,62-0021,,3,"Name of Project: Claver Trust Project
Lots 4 and 5 Block 4 Fifth Addition to South Bayard
Description of Project: TIF funds used for constructing a new multi-unit storage building.",2013,0,0,16540,0,0,0,0,0,,16540,0,2.220138,0,367.21
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2005,0,0,900,182940,0,0,0,0,,900,182940,2.25197,4119.76,20.27
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2006,0,0,900,182940,0,0,0,0,,900,182940,2.389442,4371.25,21.5
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2007,0,0,900,182940,0,0,0,0,,900,182940,2.39249,4376.82,21.53
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2008,0,0,900,182985,0,0,0,0,,900,182985,2.274408,4161.83,20.47
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2009,0,0,900,183075,0,0,0,0,,900,183075,2.276429,4167.57,20.49
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2010,0,0,900,183075,0,0,0,0,,900,183075,2.280672,4175.34,20.53
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2011,0,0,900,183075,0,0,0,0,,900,183075,2.223735,4071.1,20.01
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2012,0,0,900,183075,0,0,0,0,,900,183075,2.155596,3946.36,19.4
63-8751,NANCE,63,TIF LEN &JOE'S MKT(liquor str),8/2/2004,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Liquor Store)
Lots 12-13, Block 9, Original Town of Fullerton
Description: TIF funds used to assist developer recuperate infrastructure costs for their retail business.",2013,0,0,900,183075,0,0,0,0,,900,183075,2.103996,3851.9,18.94
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2006,0,0,78015,0,0,0,0,0,,78015,0,0,0,0
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2007,0,0,78015,151200,0,0,0,0,,78015,151200,2.39249,3617.44,1866.5
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2008,0,0,78015,306300,0,0,0,0,,78015,306300,2.274408,6966.51,1774.38
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2009,0,0,78015,314100,0,0,0,0,,78015,314100,2.276429,7150.26,1775.96
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2010,0,0,78015,314100,0,0,0,0,,78015,314100,2.280672,7163.59,1779.27
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2011,0,0,78015,314100,0,0,0,0,,78015,314100,2.223735,6984.76,1734.85
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2012,0,0,78015,319260,0,0,0,0,,78015,319260,2.155596,6881.96,1681.69
63-8752,NANCE,63,TIF SHOTKOSKI MRKT(Len&Joe),9/1/2005,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Len & Joe's Supermarket, Inc. (Grocery Store)
Lots 6-9, Block 9, Original Town of Fullerton
Description: TIF funds used to assist the developer recuperate infrastructure costs for their retail business.",2013,0,0,78015,319260,0,0,0,0,,78015,319260,2.103996,6717.22,1641.43
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2007,0,0,11840,142470,0,0,0,0,,11840,142470,2.39249,3408.58,283.27
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2008,0,0,11840,143060,0,0,0,0,,11840,143060,2.274408,3253.77,269.29
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2009,0,0,11840,144245,0,0,0,0,,11840,144245,2.276429,3283.64,269.53
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2010,0,0,11840,144245,0,0,0,0,,11840,144245,2.280672,3289.76,270.03
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2011,0,0,11840,144245,0,0,0,0,,11840,144245,2.223735,3207.64,263.29
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2012,0,0,11840,144430,0,0,0,0,,11840,144430,2.155596,3113.34,255.22
63-8753,NANCE,63,TIF FRONT RUNNER FAB INC,2/14/2006,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Front Runner Fab, Inc
Lots 13-18, Block 2, Original Town
Description: TIF funds used for an addition to an existing building for the purpose of increasing repair and manufacturing capablilties.",2013,0,0,11840,144430,0,0,0,0,,11840,144430,2.103996,3038.8,249.11
63-8754,NANCE,63,TIF ARCHER DANIELS MIDLANDS,1/1/2012,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Archer Daniels Midlands
Pt NE 1/4 SW 1/4 2-16-6 21.97 acres
Description: TIF funds used for site acquisition and site preparation.",2012,0,0,0,0,0,4018170,51630,0,Agricultural,51630,4018170,2.155596,86615.52,1112.93
63-8754,NANCE,63,TIF ARCHER DANIELS MIDLANDS,1/1/2012,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Archer Daniels Midlands
Pt NE 1/4 SW 1/4 2-16-6 21.97 acres
Description: TIF funds used for site acquisition and site preparation.",2013,0,0,0,0,51630,4018170,0,0,,51630,4018170,2.103996,84542.14,1086.29
63-8755,NANCE,63,"TIF HOMS, LLC",1/1/2013,GENOA,TWIN RIVER 30,63-0030,,3,"Name of Project: HOMS, LLC
Lots 7 & 8 Block 30 Original Town Genoa and North 174 ft Lot 1 Block 7 Willard's Addition; 306 S Oak St and North 1/2 Lot 2 Block 7 Willard's First Addition Genoa
Description of Project: TIF funds used for site acquisition and preparation for apartments.",2013,13520,0,0,0,0,0,0,0,,13520,0,2.281559,0,308.47
63-8756,NANCE,63,TIF FULLERTON SENIOR LIVING,1/1/2013,FULLERTON,FULLERTON 1,63-0001,,3,"Name of Project: Fullerton Senior Living, LLC
Tract of land in N 1/2 SW 1/4 14-16-6 Fullerton
Description of Project: TIF funds used for site acquistion and preparation for 8-plex senior apartment building.",2013,0,0,8425,0,0,0,0,0,,8425,0,2.103996,0,177.26
64-0801,NEMAHA,64,TIF TERRACE HEIGHTS VILLAGE LP,9/30/2003,AUBURN,AUBURN 29,64-0029,,3,"Name of Project: Terrace Heights Village, LP
Lot 1, Block 3, Terrace Heights, 3rd Addition
Description: TIF funds approved for acquisition, construction, improving and equipping of a 16-unit elderly housing facility.",2004,0,0,27755,942330,0,0,0,0,,27755,942330,2.042774,19249.67,566.97
